"","Year","CO2_Level_ppm"
"1",2016,402.8
"2",2015,399.41
"3",2014,397.11
"4",2013,395.19
"5",2012,392.45
"6",2011,390.44
"7",2010,388.56
"8",2009,386.28
"9",2008,384.78
"10",2007,382.67
"11",2006,380.93
"12",2005,378.81
"13",2004,376.78
"14",2003,374.96
"15",2002,372.42
"16",2001,370.4
"17",2000,368.81
"18",1999,367.63
"19",1998,365.55
"20",1997,362.9
"21",1996,361.79
"22",1995,360.02
"23",1994,358.2
"24",1993,356.71
"25",1992,355.99
"26",1991,355.28
"27",1990,353.96
"28",1989,352.79
"29",1988,351.14
"30",1987,348.62
"31",1986,346.88
"32",1985,345.46
"33",1984,343.98
"34",1983,342.44
"35",1982,340.76
"36",1981,340
"37",1980,338.8
