"","date","time","latitude(n)","longitude(w)","wind(kts)","stage","landfall","cz_name_str","damage_property_num","damage_crops_num","state_abbr","cz_timezone","damage_total","year","population","category","name"
"1",2005-08-23,1800,23.1,75.1,30,NA,"No","leflore county",50000,0,"MS","CST",50000,2005,34178,0,"Katrina"
"2",2005-08-24,1200,24.5,76.5,35,"tropical storm","No","baldwin county",0,0,"AL","CST",0,2005,162183,0,"Katrina"
"3",2005-08-26,0,25.9,80.3,70,"hurricane","No","monroe county",5e+06,0,"FL","EST",5e+06,2005,75819,1,"Katrina"
"4",2005-08-27,600,24.4,84,95,"""","No","bolivar county",2e+05,0,"MS","CST",2e+05,2005,36305,2,"Katrina"
"5",2005-08-28,1200,25.7,87.7,145,"""","No","dixie county",1000,0,"FL","EST",1000,2005,15427,5,"Katrina"
"6",2005-08-28,1200,25.7,87.7,145,"""","No","mobile county",5000,0,"AL","CST",5000,2005,398942,5,"Katrina"
"7",2005-08-28,1200,25.7,87.7,145,"""","No","madison county",0,0,"KY","EST",0,2005,78732,5,"Katrina"
"8",2005-08-28,1200,25.7,87.7,145,"""","No","christian county",0,0,"KY","CST",0,2005,72892,5,"Katrina"
"9",2005-08-28,1200,25.7,87.7,145,"""","No","russell county",0,0,"KY","EST",0,2005,17018,5,"Katrina"
"10",2005-08-28,1200,25.7,87.7,145,"""","No","christian county",7000,0,"KY","CST",7000,2005,72892,5,"Katrina"
"11",2005-08-28,1200,25.7,87.7,145,"""","No","woodford county",0,0,"KY","EST",0,2005,23933,5,"Katrina"
"12",2005-08-28,1200,25.7,87.7,145,"""","No","woodford county",0,0,"KY","EST",0,2005,23933,5,"Katrina"
"13",2005-08-28,1200,25.7,87.7,145,"""","No","bullitt county",5000,0,"KY","EST",5000,2005,68620,5,"Katrina"
"14",2005-08-28,1200,25.7,87.7,145,"""","No","jefferson county",0,0,"KY","EST",0,2005,710018,5,"Katrina"
"15",2005-08-28,1200,25.7,87.7,145,"""","No","logan county",0,0,"KY","EST",0,2005,26721,5,"Katrina"
"16",2005-08-28,1200,25.7,87.7,145,"""","No","oldham county",0,0,"KY","EST",0,2005,54266,5,"Katrina"
"17",2005-08-28,1200,25.7,87.7,145,"""","No","clark county",0,0,"IN","EST",0,2005,101781,5,"Katrina"
"18",2005-08-28,1200,25.7,87.7,145,"""","No","clark county",0,0,"IN","EST",0,2005,101781,5,"Katrina"
"19",2005-08-28,1800,26.3,88.6,150,"""","No","okaloosa county",5000,0,"FL","CST",5000,2005,184045,5,"Katrina"
"20",2005-08-28,1800,26.3,88.6,150,"""","No","baldwin county",4000,0,"AL","CST",4000,2005,162183,5,"Katrina"
"21",2005-08-28,1800,26.3,88.6,150,"""","No","mobile county",5000,0,"AL","CST",5000,2005,398942,5,"Katrina"
"22",2005-08-28,1800,26.3,88.6,150,"""","No","tippah county",5000,0,"MS","CST",5000,2005,21536,5,"Katrina"
"23",2005-08-28,1800,26.3,88.6,150,"""","No","daviess county",0,0,"KY","CST",0,2005,93150,5,"Katrina"
"24",2005-08-28,1800,26.3,88.6,150,"""","No","posey county",0,0,"IN","CST",0,2005,26488,5,"Katrina"
"25",2005-08-28,1800,26.3,88.6,150,"""","No","vanderburgh county",0,0,"IN","CST",0,2005,175769,5,"Katrina"
"26",2005-08-29,0,27.2,89.2,140,"""","No","mobile county",0,0,"AL","CST",0,2005,398942,5,"Katrina"
"27",2005-08-29,0,27.2,89.2,140,"""","No","christian county",0,0,"KY","CST",0,2005,72892,5,"Katrina"
"28",2005-08-29,0,27.2,89.2,140,"""","No","todd county",0,0,"KY","CST",0,2005,11965,5,"Katrina"
"29",2005-08-29,600,28.2,89.6,125,"""","No","santa rosa county",8000,0,"FL","CST",8000,2005,141132,4,"Katrina"
